Sent_ID	Token_ID	Corr_token	Orig_token	Lemma	POS
s1	w1	Sammlung	Sammlung	Sammelung	NN
s1	w2	kritischer	Critiſcher	kritisch	ADJD
s1	w3	,	,	,	$,
s1	w4	Poetischer	Poetiſcher	Poetische	NN
s1	w5	,	,	,	$,
s1	w6	und	und	und	KON
s1	w7	anderer	anderer	ander	ADJA
s1	w8	geistvollen	geiſtvollen	geistvoll	ADJA
s1	w9	Schriften	Schriften	Schrift	NN
s1	wa	,	,	,	$,
s1	wb	Zur	Zur	zur	APPRART
s1	wc	Verbesserung	Verbeſſerung	Verbesserung	NN
s1	wd	des	des	d	ART
s1	we	Urteiles	Urtheiles	Urteil	NN
s1	wf	und	und	und	KON
s1	w10	des	des	d	ART
s1	w11	Witzes	Witzes	Witz	NN
s1	w12	in	in	in	APPR
s1	w13	den	den	d	ART
s1	w14	Werken	Wercken	Werken	NN
s1	w15	der	der	d	ART
s1	w16	Wohlredenheit	Wohlredenheit	Wohlredenheit	NN
s1	w17	und	und	und	KON
s1	w18	der	der	d	ART
s1	w19	Poesie	Poeſie	Poesie	NN
s1	w1a	.	.	.	$.
s2	w1b	Siebendes	Siebendes	siebend	ADJA
s2	w1c	Stück	Stuͤck	Stück	NN
s2	w1d	.	.	.	$.
s3	w1e	Zürich	Zuͤrich	Zürich	NE
s3	w1f	,	,	,	$,
s3	w20	Bei	Bey	bei	APPR
s3	w21	Conrad	Conrad	Conrad	NE
s3	w22	Orell	Orell	Orell	NE
s3	w23	und	und	und	KON
s3	w24	Comp.	Comp.	Comp.	NE
s3	w25	1743	1743	1743	CARD
s3	w26	.	.	.	$.
s2e6	w54e5	Von	Von	von	APPR
s2e6	w54e6	dem	dem	d	ART
s2e6	w54e7	wichtigen	wichtigen	wichtig	ADJA
s2e6	w54e8	Anteil	Antheil	Anteil	NN
s2e6	w54e9	,	,	,	$,
s2e6	w54ea	den	den	die	PRELS
s2e6	w54eb	das	das	d	ART
s2e6	w54ec	Glück	Gluͤck	Glück	NN
s2e6	w54ed	beitragen	beytragen	beitragen	VVINF
s2e6	w54ee	muß	muß	müssen	VMFIN
s2e6	w54ef	,	,	,	$,
s2e6	w54f0	einen	einen	eine	ART
s2e6	w54f1	Epischen	Epiſchen	episch	ADJA
s2e6	w54f2	Poeten	Poeten	Poet	NN
s2e6	w54f3	zu	zu	zu	PTKZU
s2e6	w54f4	formieren	formiren	formieren	VVFIN
s2e6	w54f5	.	.	.	$.
s2e7	w54f6	Nach	Nach	nach	APPR
s2e7	w54f7	den	den	d	ART
s2e7	w54f8	Grundsätzen	Grundſaͤtzen	Grundsatz	NN
s2e7	w54f9	der	der	d	ART
s2e7	w54fa	Inquiry	Inquiry	inquiry	FM
s2e7	w54fb	into	into	into	FM
s2e7	w54fc	the	the	the	FM
s2e7	w54fd	live	live	live	ADV
s2e7	w54fe	and	and	and	FM
s2e7	w54ff	the	the	the	FM
s2e7	w5500	Writings	Writings	writings	FM
